id,city,cc1,minrate,nr_rooms,checkin,default_comm_lang,office_id,km_from_city_center,first_opened,payment_method,star_rating,hotel_type
99539,Paris,fr,172.0488,1,14:00,en,4,15,11/05/2015,"cc,bt",,Apartment
113070,Cannes,fr,323.4,1,15:00,fr,378,0,03/07/2016,"ca, bt,",,Apartment
69555,Florence,it,108.976,1,15:00,en,279,10,05/06/2015,"ca, bt,",5,Apartment
81019,Roma,it,0,1,12:00,it,13,1,6/23/15,"cc, ca, bt",3,Holiday home
80711,Roma,it,116.62,1,14:00,en,13,0,6/19/15,"cc,bt",,Apartment
105244,Roma,it,78.4,1,12:00,it,13,1,1/13/16,"cc,bt",3,Apartment
104345,Paris,fr,195.02,1,16:00,fr,4,3,12/17/15,"cc, ca, bt",3,Apartment
105524,Paris,fr,150.7142,1,14:00,it,4,2,12/17/15,"cc,ca",5,Apartment
96216,Paris,fr,0,1,15:00,fr,4,10,10/07/2015,bc,2,Apartment
62971,Paris,fr,0,1,14:00,fr,4,6,3/24/15,"cc, ca, bt",5,Apartment
91339,Roma,it,78.4,1,7:00,it,13,0,8/20/15,"ca, bt,",3,Apartment
42656,Roma,it,0,3,12:00,it,13,13,11/20/14,ca,5,Holiday home
79130,Paris,fr,101.92,1,12:00,fr,4,5,6/29/15,bc,2,Apartment
74172,Milano,it,0,7,14:00,it,221,3,5/29/15,"cc,ca,bt,bc",5,Apartment
91459,Roma,it,0,19,9:00,it,13,5,8/25/15,"cc,bt",3,ApartHotel
41538,Milano,it,0,1,15:00,it,221,0,11/03/2014,"cc,bt",,Apartment
17469,Roma,it,117.6,1,15:00,it,13,4,10/02/2014,"cc,ca,bt,bc",,Apartment
114731,Milano,it,0,1,15:00,it,221,4,3/23/16,"cc,ca,bt,bc",,Apartment
108908,Milano,it,78.6352,1,15:00,it,221,5,02/04/2016,"cc,bt",5,Apartment
108399,Cannes,fr,117.6,1,14:30,fr,378,4,03/08/2016,"ca, bt,",5,Apartment
9284,Paris,fr,188.16,1,15:00,it,4,13,05/06/2014,"ca, bt,",4,Apartment
39774,Nice,fr,105.84,1,13:00,es,378,13,10/08/2014,"cc, ca, bt",5,Apartment
13529,Paris,fr,87.318,13,14:00,fr,4,7,5/20/14,"cc,ca",,Hotel
41118,Paris,fr,0,1,14:00,fr,4,7,10/24/14,"cc,bt",,Apartment
90310,Roma,it,83.3,5,14:00,it,13,7,8/20/15,"cc,ca,bt,bc",,Guest house
23438,Cannes,fr,0,1,16:00,NA,378,5,6/26/14,ca,5,Villa
73169,Florence,it,151.067,1,16:00,NA,279,1,5/29/15,"cc, ca, bt",2,Apartment
86979,Paris,fr,330.26,1,16:00,NA,4,10,08/06/2015,ca,,Apartment
92781,Palermo,it,49,5,15:30,it,326,8,09/04/2015,"ca, bt,",1,Bed and Breakfast
102950,Napoli,it,67.62,1,11:30,it,353,15,12/09/2015,"cc,bt",3,Holiday home
112520,Roma,it,0,1,12:00,it,13,12,03/04/2016,"cc,ca,bt,bc",3,Apartment
70891,Roma,it,88.2,1,14:00,it,13,12,05/07/2015,"cc,ca",,Apartment
114664,Nice,fr,228.34,1,13:00,fr,378,4,3/23/16,"cc,ca,bt,bc",3,Villa
61695,Roma,it,63.7,13,12:00,it,13,1,05/05/2015,"ca, bt,",1,Guest house
19811,Roma,it,123.088,12,14:00,it,13,3,5/30/14,"cc,bt",5,Guest house
62664,Cannes,fr,0,1,14:00,fr,378,15,04/09/2015,"cc, ca, bt",,Apartment
31301,Milano,it,194.04,2,15:00,it,221,15,08/08/2014,"cc, ca, bt",3,Apartment
114718,Roma,it,63.3619,1,14:00,it,13,2,3/24/16,"cc, ca, bt",3,Holiday home
37247,Paris,fr,91.14,2,13:00,it,4,4,10/01/2014,ca,3,Bed and Breakfast
100259,Paris,fr,83.006,1,17:00,fr,4,4,11/24/15,"cc,ca",2,Apartment
68091,Roma,it,39.2,3,10:00,en,13,3,05/07/2015,"cc,ca",,Bed and Breakfast
19012,Paris,fr,106.722,1,16:00,fr,4,2,06/02/2014,"cc,ca,bt,bc",4,Apartment
110791,Cannes,fr,0,1,14:00,fr,378,11,02/08/2016,"cc,ca,bt,bc",2,Apartment
114383,Roma,it,77.42,1,15:00,it,13,1,3/29/16,"cc,bt",5,Apartment
53634,Paris,fr,0,1,14:00,en,4,15,2/27/15,"ca, bt,",5,Apartment
18861,Roma,it,51.94,2,14:00,it,13,7,5/23/14,"ca, bt,",2,Guest house
42576,Milano,it,68.6,1,19:00,it,221,8,11/12/2014,"cc,bt",3,Apartment
96278,Milano,it,87.514,1,15:00,it,221,1,10/09/2015,"cc,bt",3,Apartment
41275,Roma,it,137.2,1,14:00,it,13,6,10/27/14,"cc, ca, bt",2,Apartment
41838,Florence,it,73.5,1,12:00,it,279,3,11/05/2014,"cc,ca",,Apartment
28623,Nice,fr,0,1,14:00,xu,378,11,7/23/14,ca,5,Apartment
68423,Palermo,it,83.3,1,13:30,it,326,7,4/24/15,"cc,bt",4,Apartment
32033,Paris,fr,31.3698,28,14:00,fr,4,12,8/20/14,"cc,ca,bt,bc",1,Hotel
84614,Paris,fr,106.722,1,17:00,fr,4,8,7/23/15,"cc,ca,bt,bc",,Apartment
109250,Nice,fr,68.6,1,15:00,fr,378,9,02/03/2016,"cc, ca, bt",5,Apartment
13477,Roma,it,0,1,14:00,it,13,2,4/28/14,"cc,bt",5,Apartment
70043,Roma,it,0,1,14:00,it,13,3,6/16/15,"cc,bt",3,Apartment
65499,Paris,fr,0,1,16:00,fr,4,2,05/12/2015,"cc,ca",4,Apartment
79591,Roma,it,64.68,1,16:00,it,13,1,6/15/15,"cc,ca",5,Apartment
110794,Cannes,fr,0,1,14:00,fr,378,11,02/08/2016,"cc, ca, bt",3,Apartment
18909,Paris,fr,0,1,14:00,fr,4,9,5/28/14,"cc,ca,bt,bc",3,Apartment
101202,Roma,it,126.42,1,15:00,it,13,0,11/14/15,"cc,bt",5,Apartment
40000,Napoli,it,0,1,11:30,it,353,13,10/13/14,"cc, ca, bt",5,Apartment
18944,Cannes,fr,0,1,11:00,fr,378,4,5/23/14,"cc, ca, bt",2,Apartment
62655,Roma,it,127.4,1,8:00,it,13,9,3/23/15,bc,,Holiday home
89015,Cannes,fr,147,1,15:00,fr,378,3,08/08/2015,"cc, ca, bt",,Apartment
61134,Milano,it,36.309,4,15:00,NA,221,8,3/16/15,"cc,ca",,Apartment
37412,Cannes,fr,0,1,16:00,NA,378,11,9/29/14,"cc,bt",3,Apartment
50105,Roma,it,49,1,12:00,it,13,14,12/15/14,"cc,bt",,Bed and Breakfast
32428,Paris,fr,139.944,1,14:00,fr,4,6,8/21/14,"cc,bt",5,Apartment
9025,Paris,fr,0,1,15:00,fr,4,3,3/20/14,"cc,ca",5,Apartment
16779,Paris,fr,0,1,16:00,fr,4,0,05/12/2014,ca,4,Apartment
116660,Paris,fr,134.064,1,14:00,fr,4,14,04/08/2016,ca,3,Apartment
30983,Paris,fr,172.1272,1,14:00,NA,4,5,9/17/14,"ca, bt,",3,Apartment
11294,Lyon,fr,0,1,14:00,fr,186,5,04/07/2014,"cc, ca, bt",3,Apartment
54872,Nice,fr,0,1,14:00,fr,378,1,1/29/15,ca,,Apartment
61016,Roma,it,137.2,1,14:00,it,13,8,03/12/2015,"cc, ca, bt",1,Holiday home
98124,Paris,fr,446.88,1,14:00,fr,4,8,10/22/15,"cc,ca",,Apartment
73270,Nice,fr,59.78,1,17:00,fr,378,4,5/26/15,"cc, ca, bt",5,Apartment
107166,Milano,it,54.929,1,15:00,it,221,10,1/19/16,"ca, bt,",1,Apartment
61502,Milano,it,147,1,14:00,NA,221,10,04/02/2015,"cc,bt",5,Apartment
27710,Paris,fr,245,1,15:00,fr,4,6,08/06/2014,"cc, ca, bt",3,Apartment
6276,Roma,it,0,3,14:00,it,13,11,04/03/2014,ca,3,ApartHotel
99065,Cannes,fr,0,1,14:00,fr,378,5,11/04/2015,"cc,ca,bt,bc",2,Apartment
35408,Paris,fr,0,1,14:00,fr,4,2,9/17/14,"cc, ca, bt",5,Apartment
95984,Roma,it,0,1,10:00,it,13,9,9/30/15,"cc, ca, bt",5,Holiday home
112759,Roma,it,0,1,14:00,it,13,1,03/08/2016,"cc,bt",5,Apartment
48288,Venice,it,210.4648,1,16:00,NA,363,5,12/24/14,"cc,bt",5,Apartment
35587,Roma,it,97.02,1,13:30,en,13,7,9/19/14,"cc,ca,bt,bc",5,Apartment
103551,Paris,fr,177.87,1,15:00,en,4,5,12/02/2015,"cc,bt",,Apartment
85285,Venice,it,220.5,1,13:30,it,363,1,8/13/15,bc,5,Apartment
97997,Roma,it,139.16,1,14:00,it,13,3,10/21/15,"cc, ca, bt",1,Apartment
50840,Roma,it,37.485,4,12:00,en,13,2,12/17/14,"cc,ca",3,Bed and Breakfast
106893,Roma,it,0,1,15:00,it,13,2,02/01/2016,"cc,ca,bt,bc",3,Holiday home
17442,Nice,fr,163.17,1,16:00,fr,378,10,5/15/14,"cc,bt",5,Apartment
107435,Florence,it,127.4,1,14:00,it,279,5,02/11/2016,"cc,ca",,Apartment
95232,Milano,it,0,1,13:30,it,221,3,9/30/15,"cc, ca, bt",,Apartment
82541,Paris,fr,284.2,1,14:00,fr,4,10,7/15/15,ca,3,Apartment
106459,Napoli,it,46.06,1,11:30,it,353,10,02/05/2016,"cc,ca,bt,bc",,Apartment
97104,Florence,it,56.84,1,16:00,it,279,1,10/12/2015,"cc, ca, bt",4,Apartment
83459,Paris,fr,0,1,14:00,fr,4,14,07/08/2015,"ca, bt,",,Apartment
114461,Paris,fr,338.1,1,14:00,en,4,4,3/18/16,"cc,bt",5,Apartment
84620,Venice,it,0,1,15:00,it,363,0,07/11/2015,"cc, ca, bt",1,Apartment
85715,Paris,fr,92.61,1,17:00,NA,4,15,10/02/2015,"cc,ca",5,Apartment
64259,Roma,it,48.02,4,12:00,it,13,3,04/10/2015,"cc,ca",1,Bed and Breakfast
17678,Milano,it,148.8326,1,14:00,it,221,1,5/15/14,"ca, bt,",4,Apartment
93302,Nice,fr,110.74,1,13:00,fr,378,1,09/04/2015,ca,3,Apartment
53536,Roma,it,78.4,1,14:00,it,13,0,1/15/15,"cc,bt",5,Apartment
79318,Roma,it,93.1,1,14:00,it,13,1,6/16/15,"cc,bt",4,Apartment
17503,Milano,it,0,1,12:00,it,221,11,5/14/14,"cc,bt",3,Apartment
49305,Roma,it,70.56,1,14:00,it,13,0,12/05/2014,bc,2,Apartment
98274,Roma,it,68.6,1,15:00,it,13,13,10/27/15,"cc,ca",3,Apartment
8764,Roma,it,68.6,2,13:00,it,13,9,3/18/14,"cc,bt",5,Guest house
115667,Paris,fr,0,1,16:00,fr,4,2,3/29/16,"cc,ca,bt,bc",,Apartment
88569,Milano,it,72.52,1,17:30,en,221,0,08/01/2015,"cc,ca",4,Apartment
114655,Cannes,fr,480.2,1,14:00,fr,378,15,3/15/16,"cc, ca, bt",3,Apartment
70042,Palermo,it,0,2,14:00,it,326,3,05/03/2015,"cc,ca",5,Apartment
112755,Milano,it,52.92,1,15:00,it,221,8,03/05/2016,"cc,ca",3,Apartment
112107,Paris,fr,0,1,15:00,NA,4,14,03/10/2016,"cc,ca",4,Apartment
17067,Milano,it,0,1,14:00,it,221,2,05/12/2014,"cc,bt",,Apartment
91481,Roma,it,53.9,3,13:00,it,13,1,8/25/15,"cc,bt",5,Bed and Breakfast
232,Palermo,it,49,6,8:00,NA,326,3,3/24/14,"cc,bt",,Bed and Breakfast
67021,Milano,it,98,1,16:00,it,221,12,4/16/15,"cc,ca",1,Apartment
33451,Palermo,it,0,1,12:00,it,326,12,09/11/2014,"cc,ca",,Holiday home
80160,Roma,it,0,1,12:30,it,13,0,6/17/15,"cc,ca",3,Apartment
86244,Paris,fr,0,1,14:00,en,4,12,7/27/15,"ca, bt,",5,Apartment
89543,Nice,fr,0,1,8:00,en,378,6,08/09/2015,"cc,bt",3,Apartment
11170,Florence,it,115.64,1,13:00,it,279,6,4/14/14,"cc,ca",4,Apartment
32937,Roma,it,0,1,15:30,it,13,3,09/04/2014,"cc,bt",,Apartment
94729,Roma,it,166.9136,1,12:00,xu,13,3,9/18/15,"ca, bt,",3,Apartment
83761,Napoli,it,78.4,1,14:00,it,353,10,07/02/2015,"cc, ca, bt",1,Apartment
93253,Paris,fr,0,1,13:00,fr,4,5,09/04/2015,"cc,ca",3,Apartment
78611,Florence,it,0,4,15:30,NA,279,12,6/19/15,"ca, bt,",3,Apartment
25157,Roma,it,87.318,1,15:00,it,13,0,6/25/14,"cc,bt",5,Apartment
108760,Venice,it,139.8133337,1,14:00,NA,0,3,3/14/16,"cc,bt",3,Apartment
1274,Paris,fr,279.3,1,15:00,NA,4,3,2/25/14,"cc, ca, bt",5,Apartment
77312,Milano,it,0,1,12:30,it,221,15,06/06/2015,"cc, ca, bt",,Apartment
85745,Paris,fr,136.71,1,17:00,NA,4,5,09/09/2015,"cc,bt",5,Apartment
44888,Nice,fr,0,1,16:00,NA,378,3,12/05/2014,"cc,bt",3,Apartment
53804,Cannes,fr,574.0000003,1,14:00,fr,378,4,1/22/15,"cc,bt",4,Apartment
70321,Roma,it,57.33,6,14:00,it,13,6,05/07/2015,"cc,ca",,Guest house
109245,Roma,it,0,2,15:00,en,13,10,2/26/16,"ca, bt,",2,Guest house
46239,Paris,fr,0,1,14:00,fr,4,10,12/03/2014,"cc,bt",,Apartment
85092,Milano,it,102.9,6,15:00,it,221,6,7/21/15,"cc, ca, bt",3,Apartment
56878,Nice,fr,83.3,3,14:00,en,378,3,2/16/15,"cc, ca, bt",3,Apartment
59877,Nice,fr,0,1,15:00,fr,378,4,3/23/15,"cc, ca, bt",1,Apartment
113587,Roma,it,107.8,1,14:00,it,13,9,3/15/16,"cc, ca, bt",,Apartment
98150,Venice,it,115.542,1,14:00,it,363,3,10/23/15,"cc,bt",3,Apartment
113997,Venice,it,196,1,13:30,it,363,3,3/25/16,"cc,ca",2,Apartment
41445,Roma,it,0,1,13:00,it,13,2,10/29/14,"cc,bt",4,Holiday home
61794,Florence,it,0,1,16:00,NA,279,15,3/27/15,"cc, ca, bt",3,Apartment
95783,Roma,it,50.764,6,14:00,it,13,15,10/01/2015,"cc,bt",3,Guest house
72297,Milano,it,196,1,14:00,en,221,7,7/15/15,"cc, ca, bt",3,Apartment
98873,Roma,it,74.48,6,14:00,it,13,3,10/28/15,"cc, ca, bt",,Guest house
85516,Milano,it,103.88,1,14:00,it,221,4,08/10/2015,"cc, ca, bt",3,Apartment
63220,Roma,it,58.8,1,14:30,xu,13,9,3/27/15,bc,3,Apartment
56827,Paris,fr,0,1,14:00,NA,4,3,4/14/15,ca,2,Apartment
105864,Milano,it,54.929,1,15:00,it,221,11,12/23/15,"cc,ca",5,Apartment
40661,Paris,fr,0,1,13:00,xu,4,1,10/20/14,"cc,bt",3,Apartment
6950,Roma,it,0,1,14:00,it,13,0,2/28/14,"cc,bt",2,Apartment
35941,Nice,fr,181.545,1,17:00,fr,378,2,9/19/14,"cc, ca, bt",3,ApartHotel
63085,Nice,fr,0,3,14:00,fr,378,2,3/26/15,"cc,ca",3,Homestay
79003,Milano,it,85.26,1,15:00,it,221,10,06/10/2015,"cc,ca",,Apartment
113208,Cannes,fr,0,1,16:00,xu,378,3,03/02/2016,"cc,ca,bt,bc",,Apartment
41357,Nice,fr,0,1,16:00,fr,378,5,10/29/14,"cc,bt",3,Apartment
35424,Paris,fr,0,1,13:00,fr,4,6,09/12/2014,"cc,ca,bt,bc",3,Apartment
25133,Roma,it,0,1,14:00,it,13,8,6/24/14,"cc,ca",2,Holiday home
60907,Venice,it,0,1,12:00,fr,363,4,03/10/2015,"ca, bt,",3,Apartment
58207,Roma,it,0,1,14:00,it,13,6,2/24/15,"cc,ca",5,Apartment
61204,Paris,fr,0,1,15:00,fr,4,12,3/16/15,"cc, ca, bt",,Apartment
101470,Florence,it,186.2,1,14:00,it,279,4,11/13/15,"cc,bt",3,Apartment
87465,Venice,it,34.3,22,12:00,it,363,0,7/29/15,"ca, bt,",,Hostel
96429,Nice,fr,63.7,1,14:00,xu,378,14,11/07/2015,"cc,ca",,Apartment
87006,Roma,it,77.616,3,12:00,it,13,0,7/25/15,"cc,ca",5,Bed and Breakfast
85974,Paris,fr,0,1,15:00,fr,4,3,7/17/15,ca,1,Apartment
84258,Cannes,fr,0,1,12:00,fr,378,9,07/07/2015,"cc,ca,bt,bc",1,Apartment
62885,Roma,it,82.467,1,13:30,it,13,7,3/24/15,"cc,bt",,Apartment
104765,Palermo,it,68.6,1,11:00,en,326,5,03/04/2016,"cc,bt",,Apartment
70123,Milano,it,0,2,13:00,it,221,13,5/30/15,"cc,ca,bt,bc",3,Apartment
8686,Paris,fr,130.34,1,14:00,en,4,2,3/28/14,"cc, ca, bt",4,Apartment
37207,Roma,it,294,1,13:00,it,13,4,9/30/14,ca,3,Apartment
67966,Roma,it,0,1,13:00,it,13,0,4/24/15,"ca, bt,",4,Apartment
99172,Paris,fr,260.876,1,15:00,fr,4,0,11/03/2015,ca,5,Apartment
93307,Milano,it,152.8163,1,15:00,it,221,3,10/13/15,"cc,bt",5,Apartment
41559,Cannes,fr,0,1,15:30,fr,378,2,12/22/14,"cc,bt",2,Apartment
35791,Paris,fr,0,1,14:30,fr,4,3,9/18/14,"cc,bt",1,Apartment
42889,Roma,it,0,1,15:00,fr,13,0,11/14/14,"cc,bt",4,Apartment
30345,Palermo,it,68.6,1,12:00,en,326,2,08/04/2014,"cc,bt",1,Apartment
22985,Milano,it,88.2,4,15:00,it,221,2,6/23/14,"cc,bt",,Bed and Breakfast
35522,Milano,it,126.42,3,14:00,it,221,10,9/15/14,"cc,bt",5,Guest house
91661,Florence,it,98,1,14:00,xu,279,9,09/12/2015,"cc,ca",,Apartment
91465,Paris,fr,717.948,1,12:00,en,4,3,8/28/15,"cc, ca, bt",5,Apartment
116636,Roma,it,46.06,3,14:00,it,13,7,04/12/2016,"ca, bt,",3,Guest house
32887,Paris,fr,0,1,15:00,NA,4,2,09/08/2014,"cc,bt",5,Apartment
19673,Palermo,it,39.2,3,12:00,it,326,3,5/30/14,"cc,ca",,Bed and Breakfast
11050,Cannes,fr,0,1,14:00,fr,378,11,04/02/2014,"cc,ca",3,Apartment
51919,Roma,it,176.4,1,14:00,it,13,7,12/30/14,"cc,bt",5,Apartment
41231,Florence,it,230.1432,1,16:00,NA,279,11,11/17/14,"cc,ca,bt,bc",2,Apartment
72956,Milano,it,0,2,14:00,it,221,9,5/20/15,"cc,bt",1,Apartment
85703,Paris,fr,136.71,1,17:00,NA,4,3,10/02/2015,"cc, ca, bt",5,Apartment
98062,Roma,it,186.2,1,13:00,en,13,2,10/20/15,"cc, ca, bt",3,Apartment
56978,Lyon,fr,0,1,16:00,fr,186,5,2/18/15,"ca, bt,",,Apartment
64884,Paris,fr,0,1,17:00,fr,4,1,04/02/2015,"cc,ca",3,Bed and Breakfast
62490,Cannes,fr,51.205,2,12:00,fr,378,9,3/20/15,"cc, ca, bt",1,Apartment
56058,Paris,fr,0,1,14:00,fr,4,8,02/09/2015,"cc, ca, bt",,Apartment
46635,Milano,it,67.62,1,14:30,it,221,12,5/21/15,"cc,bt",2,Apartment
58394,Nice,fr,239.61,1,16:00,fr,378,14,03/02/2015,"cc,ca",1,Apartment
83435,Milano,it,0,1,15:30,it,221,8,07/01/2015,"cc,ca,bt,bc",,Apartment
11806,Nice,fr,86.24,1,15:00,fr,378,10,4/22/14,"cc,bt",,Apartment
73170,Florence,it,0,1,16:00,NA,279,2,5/29/15,"cc, ca, bt",3,Apartment
107200,Roma,it,70.56,1,15:00,it,13,3,02/01/2016,"cc,ca",,Apartment
60748,Florence,it,0,1,13:00,it,279,14,03/10/2015,"cc, ca, bt",3,Apartment
50965,Paris,fr,83.3,38,15:00,fr,4,8,12/23/14,"cc, ca, bt",3,Hotel
97328,Venice,it,132.986,1,14:00,it,363,12,10/21/15,"cc,bt",5,Apartment
104878,Roma,it,94.864,1,14:00,NA,13,8,12/22/15,"ca, bt,",5,Apartment
110833,Milano,it,78.4,1,18:00,it,221,0,2/17/16,"cc,bt",,Apartment
20501,Nice,fr,0,1,16:00,fr,378,2,06/11/2014,"cc,bt",3,Villa
49524,Roma,it,66.64,3,12:00,it,13,15,12/10/2014,"cc,bt",,Guest house
111040,Roma,it,68.6,1,14:00,it,13,4,02/12/2016,"cc,bt",3,Apartment
41257,Paris,fr,0,1,15:00,fr,4,4,10/29/14,"cc,bt",2,Apartment
109358,Florence,it,142.1,1,14:00,it,279,2,2/19/16,"ca, bt,",3,Apartment
9086,Roma,it,31.85,3,13:00,it,13,0,3/25/14,"cc,ca",4,Bed and Breakfast
70878,Milano,it,156.8,1,12:00,it,221,15,05/07/2015,ca,,Apartment
92209,Paris,fr,0,1,12:00,xu,4,4,8/27/15,"cc, ca, bt",5,Villa
108452,Cannes,fr,86.73,1,14:00,fr,378,6,1/22/16,"cc,ca",3,Apartment
85761,Paris,fr,0,1,17:00,NA,4,14,10/02/2015,"ca, bt,",5,Apartment
104762,Florence,it,120.05,1,7:00,it,279,0,01/05/2016,"ca, bt,",3,Apartment
107243,Roma,it,176.4,1,10:30,it,13,13,1/26/16,"cc,bt",2,Apartment
7963,Paris,fr,0,1,15:30,fr,4,0,03/07/2014,"cc,ca,bt,bc",4,Apartment
77400,Nice,fr,186.2,1,16:00,fr,378,14,06/05/2015,"cc,ca,bt,bc",3,Apartment
112260,Paris,fr,60.76,1,13:30,fr,4,11,2/22/16,"cc,bt",2,Apartment
70982,Cannes,fr,0,1,16:00,en,378,14,05/08/2015,"cc,ca,bt,bc",3,Apartment
49443,Roma,it,39.2,2,13:00,it,13,0,12/09/2014,"cc,ca,bt,bc",,Bed and Breakfast
57175,Paris,fr,2168.8772,3,16:00,xu,4,11,03/05/2015,"cc, ca, bt",3,Apartment
63681,Florence,it,156.8,1,12:00,en,279,7,04/03/2015,"ca, bt,",1,Apartment
82345,Paris,fr,0,1,15:00,fr,4,4,07/02/2015,ca,3,Apartment
16042,Napoli,it,0,1,14:00,it,353,2,05/05/2014,"cc, ca, bt",4,Apartment
107494,Napoli,it,51.94,3,13:30,it,353,6,2/24/16,"ca, bt,",5,Bed and Breakfast
93813,Milano,it,710.5,1,16:00,it,221,7,09/09/2015,"ca, bt,",4,Apartment
107656,Roma,it,93.688,1,12:30,it,13,8,02/05/2016,"cc, ca, bt",2,Apartment
54073,Nice,fr,217.56,1,15:00,fr,378,10,1/26/15,"cc, ca, bt",3,Apartment
59605,Venice,it,191.59,1,12:00,it,363,14,03/08/2015,"cc,bt",3,Apartment
91014,Roma,it,0,1,17:00,it,13,14,8/18/15,"cc,bt",3,Apartment
111487,Paris,fr,0,1,14:00,es,4,0,2/23/16,"cc,ca,bt,bc",3,Apartment
8432,Roma,it,0,1,14:00,en,13,0,3/13/14,"cc, ca, bt",5,Holiday home
58793,Nice,fr,0,1,15:00,fr,378,3,3/13/15,"cc,bt",,Apartment
40475,Paris,fr,92.12,1,14:00,fr,4,8,2/27/15,"cc,bt",3,Bed and Breakfast
98374,Roma,it,107.8,1,12:00,it,13,2,10/23/15,"cc, ca, bt",5,Bed and Breakfast
32800,Roma,it,0,1,14:00,it,13,6,8/26/14,"cc,bt",,Apartment
106069,Napoli,it,39.2,3,12:00,it,353,1,03/10/2016,"cc,ca,bt,bc",2,Guest house
64415,Roma,it,116.62,1,12:00,it,13,7,04/02/2015,"cc,bt",,Holiday home
16772,Lyon,fr,147,2,12:00,fr,186,2,05/09/2014,"cc, ca, bt",3,Bed and Breakfast
70881,Paris,fr,136.4454,1,18:30,it,4,9,5/13/15,"cc,bt",1,Bed and Breakfast
28044,Paris,fr,161.7,1,14:00,en,4,14,7/18/14,"cc, ca, bt",,Apartment
57222,Paris,fr,196,1,15:30,fr,4,10,03/02/2015,"cc,ca",,Apartment
12566,Roma,it,59.78,4,14:30,it,13,2,4/17/14,"cc,ca",4,Bed and Breakfast
73166,Florence,it,173.6952,1,16:00,NA,279,3,5/29/15,"cc,bt",,Apartment
91279,Florence,it,122.5,1,15:00,en,279,4,8/22/15,"cc,bt",,Apartment
109607,Cannes,fr,156.8,1,14:00,fr,378,9,03/02/2016,"cc,ca,bt,bc",5,Apartment
86677,Cannes,fr,84.28,1,16:00,fr,378,7,7/28/15,ca,3,Apartment
110638,Roma,it,117.6,1,11:00,it,13,1,2/28/16,"cc,bt",1,Apartment
97694,Lyon,fr,107.8,1,16:00,fr,186,4,10/16/15,"cc,ca",4,Apartment
81119,Paris,fr,0,1,14:00,fr,4,1,6/22/15,"cc, ca, bt",5,Guest house
107346,Roma,it,53.9,5,12:00,it,13,5,02/02/2016,"cc,ca,bt,bc",3,Guest house
99265,Roma,it,156.8,1,13:30,it,13,0,10/28/15,"cc,bt",,Holiday home
108307,Milano,it,89.18,1,11:30,it,221,3,2/23/16,ca,5,Guest house
35570,Palermo,it,58.8,1,12:00,it,326,5,10/07/2014,"cc,ca,bt,bc",3,Apartment
